unit_number,address,zillow_url,redfin_url
111,111 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/111-Woodgate-Ln-Paoli-PA-19301/52611478_zpid/,https://www.redfin.com/PA/Paoli/111-Woodgate-Ln-19301/home/38879483
112,112 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/112-Woodgate-Ln-Paoli-PA-19301/54744051_zpid/,https://www.redfin.com/PA/Paoli/112-Woodgate-Ln-19301/home/39011703
113,113 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/113-Woodgate-Ln-Paoli-PA-19301/54744052_zpid/,https://www.redfin.com/PA/Paoli/113-Woodgate-Ln-19301/home/39011700
114,114 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/114-Woodgate-Ln-Paoli-PA-19301/54744053_zpid/,https://www.redfin.com/PA/Paoli/114-Woodgate-Ln-19301/home/39011701
115,115 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/115-Woodgate-Ln-Paoli-PA-19301/54744054_zpid/,https://www.redfin.com/PA/Paoli/115-Woodgate-Ln-19301/home/180869816
116,116 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/116-Woodgate-Ln-Paoli-PA-19301/54744055_zpid/,https://www.redfin.com/PA/Paoli/116-Woodgate-Ln-19301/home/39011722
117,117 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/117-Woodgate-Ln-Paoli-PA-19301/54744056_zpid/,https://www.redfin.com/PA/Paoli/117-Woodgate-Ln-19301/home/39011704
118,118 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/118-Woodgate-Ln-Paoli-PA-19301/54744057_zpid/,https://www.redfin.com/PA/Paoli/118-Woodgate-Ln-19301/unit-8/home/39011715
119,119 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/119-Woodgate-Ln-Paoli-PA-19301/54744058_zpid/,https://www.redfin.com/PA/Paoli/119-Woodgate-Ln-19301/home/39011755
120,120 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/120-Woodgate-Ln-Paoli-PA-19301/54744059_zpid/,https://www.redfin.com/PA/Paoli/120-Woodgate-Ln-19301/home/39011754
121,121 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/121-Woodgate-Ln-Paoli-PA-19301/54744060_zpid/,https://www.redfin.com/PA/Paoli/121-Woodgate-Ln-19301/home/39011753
122,122 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/122-Woodgate-Ln-Paoli-PA-19301/54744061_zpid/,https://www.redfin.com/PA/Paoli/122-Woodgate-Ln-19301/home/39011752
123,123 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/123-Woodgate-Ln-Paoli-PA-19301/54744062_zpid/,https://www.redfin.com/PA/Paoli/123-Woodgate-Ln-19301/home/39011759
124,124 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/124-Woodgate-Ln-Paoli-PA-19301/54744063_zpid/,https://www.redfin.com/PA/Paoli/124-Woodgate-Ln-19301/home/39011758
125,125 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/125-Woodgate-Ln-Paoli-PA-19301/54744064_zpid/,https://www.redfin.com/PA/Paoli/125-Woodgate-Ln-19301/home/39011757
126,126 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/126-Woodgate-Ln-Paoli-PA-19301/54744065_zpid/,https://www.redfin.com/PA/Paoli/126-Woodgate-Ln-19301/home/39011756
127,127 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/127-Woodgate-Ln-Paoli-PA-19301/54744066_zpid/,https://www.redfin.com/PA/Paoli/127-Woodgate-Ln-19301/home/39011732
128,128 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/128-Woodgate-Ln-Paoli-PA-19301/54744067_zpid/,https://www.redfin.com/PA/Paoli/128-Woodgate-Ln-19301/home/39011731
129,129 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/129-Woodgate-Ln-Paoli-PA-19301/54744068_zpid/,https://www.redfin.com/PA/Paoli/129-Woodgate-Ln-19301/home/39011730
130,130 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/130-Woodgate-Ln-Paoli-PA-19301/50928465_zpid/,https://www.redfin.com/PA/Paoli/130-Woodgate-Ln-19301/home/38857521
131,131 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/131-Woodgate-La-Paoli-PA-19301/54744069_zpid/,https://www.redfin.com/PA/Paoli/131-Woodgate-Ln-19301/home/39011729
132,132 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/132-Woodgate-La-Paoli-PA-19301/54744070_zpid/,https://www.redfin.com/PA/Paoli/132-Woodgate-Ln-19301/home/39011751
133,133 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/133-Woodgate-Ln-Paoli-PA-19301/54744071_zpid/,https://www.redfin.com/PA/Paoli/133-Woodgate-Ln-19301/home/39011750
134,134 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/134-Woodgate-Ln-Paoli-PA-19301/54744072_zpid/,https://www.redfin.com/PA/Paoli/134-Woodgate-Ln-19301/unit-24/home/39011734
135,135 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/135-Woodgate-Ln-Paoli-PA-19301/54744073_zpid/,https://www.redfin.com/PA/Paoli/135-Woodgate-Ln-19301/home/39011733
136,136 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/136-Woodgate-Ln-Paoli-PA-19301/54744074_zpid/,https://www.redfin.com/PA/Paoli/136-Woodgate-Ln-19301/unit-26/home/39011435
137,137 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/137-Woodgate-Ln-Paoli-PA-19301/54744075_zpid/,https://www.redfin.com/PA/Paoli/137-Woodgate-Ln-19301/home/180786796
138,138 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/138-Woodgate-Ln-Paoli-PA-19301/54744076_zpid/,https://www.redfin.com/PA/Paoli/138-Woodgate-Ln-19301/home/39011433
139,139 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/139-Woodgate-Ln-Paoli-PA-19301/9184655_zpid/,https://www.redfin.com/PA/Paoli/139-Woodgate-Ln-19301/home/38670432
140,140 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/140-Woodgate-Ln-Paoli-PA-19301/54744077_zpid/,https://www.redfin.com/PA/Paoli/140-Woodgate-Ln-19301/home/39011432
141,141 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/141-Woodgate-Ln-Paoli-PA-19301/54744078_zpid/,https://www.redfin.com/PA/Paoli/141-Woodgate-Ln-19301/home/39011439
142,142 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/142-Woodgate-Ln-Paoli-PA-19301/9184656_zpid/,https://www.redfin.com/PA/Paoli/142-Woodgate-Ln-19301/home/38670431
143,143 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/143-Woodgate-Ln-Paoli-PA-19301/54744079_zpid/,https://www.redfin.com/PA/Paoli/143-Woodgate-Ln-19301/home/39011438
144,144 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/144-Woodgate-Ln-Paoli-PA-19301/54744080_zpid/,https://www.redfin.com/PA/Paoli/144-Woodgate-Ln-19301/home/39011437
145,145 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/145-Woodgate-Ln-Paoli-PA-19301/54744081_zpid/,https://www.redfin.com/PA/Paoli/145-Woodgate-Ln-19301/home/39011436
146,146 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/146-Woodgate-Ln-Paoli-PA-19301/54744082_zpid/,https://www.redfin.com/PA/Paoli/146-Woodgate-Ln-19301/home/39011427
147,147 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/147-Woodgate-La-Paoli-PA-19301/54744083_zpid/,https://www.redfin.com/PA/Paoli/147-Woodgate-Ln-19301/unit-37/home/39011426
148,148 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/148-Woodgate-Ln-Paoli-PA-19301/54744084_zpid/,https://www.redfin.com/PA/Paoli/148-Woodgate-Ln-19301/home/39011425
149,149 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/149-Woodgate-Ln-Paoli-PA-19301/54744085_zpid/,https://www.redfin.com/PA/Paoli/149-Woodgate-Ln-19301/home/39011424
150,150 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/150-Woodgate-Ln-Paoli-PA-19301/54744086_zpid/,https://www.redfin.com/PA/Paoli/150-Woodgate-Ln-19301/home/39011431
151,151 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/151-Woodgate-Ln-Paoli-PA-19301/54744087_zpid/,https://www.redfin.com/PA/Paoli/151-Woodgate-Ln-19301/home/39011430
152,152 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/152-Woodgate-Ln-Paoli-PA-19301/54744088_zpid/,https://www.redfin.com/PA/Paoli/152-Woodgate-Ln-19301/unit-42/home/39011429
153,153 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/153-Woodgate-Ln-Paoli-PA-19301/52643833_zpid/,https://www.redfin.com/PA/Paoli/153-Woodgate-Ln-19301/home/38893247
154,154 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/154-Woodgate-Ln-Paoli-PA-19301/54744089_zpid/,https://www.redfin.com/PA/Paoli/154-Woodgate-Ln-19301/home/39011428
155,155 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/155-Woodgate-Ln-Paoli-PA-19301/54744090_zpid/,https://www.redfin.com/PA/Paoli/155-Woodgate-Ln-19301/home/39011418
156,156 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/156-Woodgate-Ln-Paoli-PA-19301/53164603_zpid/,https://www.redfin.com/PA/Paoli/156-Woodgate-Ln-19301/home/38893114
157,157 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/157-Woodgate-Ln-Paoli-PA-19301/54744091_zpid/,https://www.redfin.com/PA/Paoli/157-Woodgate-Ln-19301/home/39011419
158,158 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/158-Woodgate-Ln-Paoli-PA-19301/54744092_zpid/,https://www.redfin.com/PA/Paoli/158-Woodgate-Ln-19301/home/39011416
159,159 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/159-Woodgate-Ln-Paoli-PA-19301/54744093_zpid/,https://www.redfin.com/PA/Paoli/159-Woodgate-Ln-19301/home/39011417
160,160 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/160-Woodgate-Ln-Paoli-PA-19301/54744094_zpid/,https://www.redfin.com/PA/Paoli/160-Woodgate-Ln-19301/home/39011422
161,161 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/161-Woodgate-Ln-Paoli-PA-19301/54744095_zpid/,https://www.redfin.com/PA/Paoli/161-Woodgate-Ln-19301/home/39011423
162,162 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/162-Woodgate-Ln-Paoli-PA-19301/54744096_zpid/,https://www.redfin.com/PA/Paoli/162-Woodgate-Ln-19301/home/39011420
163,163 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/163-Woodgate-Ln-Paoli-PA-19301/54744097_zpid/,https://www.redfin.com/PA/Paoli/163-Woodgate-Ln-19301/home/39011421
164,164 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/164-Woodgate-Ln-Paoli-PA-19301/54744098_zpid/,https://www.redfin.com/PA/Paoli/164-Woodgate-Ln-19301/home/39011411
165,165 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/165-Woodgate-Ln-Paoli-PA-19301/54744099_zpid/,https://www.redfin.com/PA/Paoli/165-Woodgate-Ln-19301/home/39011412
166,166 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/166-Woodgate-Ln-Paoli-PA-19301/9184657_zpid/,https://www.redfin.com/PA/Paoli/166-Woodgate-Ln-19301/home/38670426
167,167 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/167-Woodgate-Ln-Paoli-PA-19301/54744100_zpid/,https://www.redfin.com/PA/Paoli/167-Woodgate-Ln-19301/home/39011409
168,168 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/168-Woodgate-Ln-Paoli-PA-19301/54744101_zpid/,https://www.redfin.com/PA/Paoli/168-Woodgate-Ln-19301/home/39011410
169,169 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/169-Woodgate-Ln-Paoli-PA-19301/9184658_zpid/,https://www.redfin.com/PA/Paoli/169-Woodgate-Ln-19301/unit-59/home/38670427
170,170 Woodgate Lane Paoli PA 19301,https://www.zillow.com/homedetails/170-Woodgate-Ln-Paoli-PA-19301/54744102_zpid/,https://www.redfin.com/PA/Paoli/170-Woodgate-Ln-19301/home/39011414
